ID,Temperature,Wind,Battery
6,-1.9359058E+09,-1.361036E+09,1.5119962E+09
652,-1.928648E+09,-98498460,2.0067313E+09
435,-1.9279046E+09,1.2728703E+09,1.1369791E+09
614,-1.9228173E+09,-2.0014577E+09,-1.0850569E+09
70,-1.922642E+09,2.1083333E+09,-268147660
272,-1.9178467E+09,-261365230,1.3183931E+09
570,-1.9170912E+09,-3615184,-84613260
793,-1.914678E+09,-2.0690136E+09,1.1529407E+09
112,-1.8959457E+09,1.4368508E+09,-184056290
198,-1.8923868E+09,-599917600,-552094200
46,-1.8841462E+09,1.5202881E+09,589436740
729,-1.8792082E+09,324173860,1.4350028E+09
358,-1.8738769E+09,-1.6470426E+09,228044830
295,-1.8713281E+09,1.7432637E+09,-1.544883E+09
750,-1.8689518E+09,2.1376191E+09,-1.8897655E+09
500,-1.8607398E+09,-135617440,-2.0931002E+09
544,-1.8591996E+09,1.723854E+09,-1.1261628E+09
701,-1.8589838E+09,-1.355223E+09,522779650
581,-1.8571525E+09,1.299183E+09,-1.874427E+09
495,-1.8567905E+09,863938940,-1.6661334E+09
592,-1.8564804E+09,1.1807045E+09,1.3622538E+09
301,-1.8518303E+09,399830980,1.4544608E+09
633,-1.8500429E+09,1.1054353E+09,-1.5708527E+09
207,-1.8419965E+09,1.1702472E+09,1.7699803E+09
244,-1.8406912E+09,1.6030735E+09,-505995330
656,-1.83825E+09,-887504600,651241340
556,-1.8332678E+09,-1.0392046E+09,364691200
335,-1.8316737E+09,-1.0198163E+09,314693220
318,-1.8292065E+09,2.0483434E+09,1.8040433E+09
53,-1.8213428E+09,-1.7885608E+09,-508032900
659,-1.8212333E+09,-479578600,-1.3579944E+09
746,-1.8049492E+09,-1.8490172E+09,51642904
800,-1.8043471E+09,-712479700,442117100
705,-1.8022322E+09,-2.0761059E+09,1.8165937E+09
713,-1.8021463E+09,-1.6928201E+09,-776836350
478,-1.800707E+09,555661440,-845286000
373,-1.8006405E+09,-291553250,-679141950
269,-1.7971675E+09,165381740,-2.0310237E+09
138,-1.7872636E+09,-192642220,1.800465E+09
525,-1.7850227E+09,1.7353824E+09,-1.6791506E+09
183,-1.7744355E+09,-1.2803831E+09,551226500
727,-1.7707827E+09,-993098700,-1.6221924E+09
77,-1.7694222E+09,973594500,-878914500
456,-1.7633463E+09,1.7033472E+09,-847217100
749,-1.7526368E+09,1.951442E+09,476496860
791,-1.7478867E+09,-328887970,358702560
486,-1.7440952E+09,-58368172,1.3469809E+09
437,-1.7375378E+09,-1.6587776E+09,1.2330273E+09
145,-1.7319511E+09,1.7265458E+09,2.1006838E+09
799,-1.7304785E+09,-1.5875443E+09,-1.7433216E+09
177,-1.7296847E+09,1.7174616E+09,1.1619726E+09
702,-1.7240942E+09,-1.9432534E+09,850371260
761,-1.7214234E+09,-1.0833093E+09,1.2902815E+09
722,-1.7209742E+09,1.3124541E+09,-1.4648764E+09
720,-1.7130423E+09,1.1935688E+09,-1.1406502E+09
764,-1.7013994E+09,1.5066049E+09,359200930
308,-1.6989764E+09,-524794780,-1.01409875E+09
202,-1.6986124E+09,504075800,-404789000
434,-1.6949044E+09,1.5650976E+09,1.4360084E+09
230,-1.685451E+09,415498460,1.1997768E+09
86,-1.6791652E+09,410724160,1.234276E+09
453,-1.6704906E+09,2.0112897E+09,-1.2858551E+09
240,-1.659943E+09,-2.0485206E+09,1.3222783E+09
41,-1.6495704E+09,-86685064,-1.7644285E+09
476,-1.6477203E+09,485066620,31341300
378,-1.6433956E+09,-1.4697932E+09,-1.9919735E+09
412,-1.6421859E+09,-117566500,-508407780
770,-1.640228E+09,-463971400,-499736740
413,-1.6357971E+09,-1.2271681E+09,-1.7559363E+09
31,-1.6351066E+09,-642976900,989912960
769,-1.6301394E+09,-2.0805832E+09,-1.0260305E+09
591,-1.6104214E+09,667682240,-79333390
606,-1.5988954E+09,818731900,1.2519763E+09
136,-1.5941436E+09,-1.1110788E+09,-1.9106961E+09
98,-1.591664E+09,1.721122E+09,711188160
277,-1.5913869E+09,-1.9853462E+09,1.2595021E+09
598,-1.5891325E+09,1.1609885E+09,-1.6534376E+09
99,-1.587985E+09,-862100500,125155120
766,-1.576467E+09,-1.6155727E+09,1.6174502E+09
506,-1.5742209E+09,1.9058084E+09,1.4243306E+09
557,-1.5703599E+09,-1.7442619E+09,-307625180
19,-1.565261E+09,-1.6037034E+09,1.8048541E+09
542,-1.5643301E+09,-259875700,739062660
288,-1.5624526E+09,1.2603612E+09,-1.02301344E+09
157,-1.5578153E+09,-1.8110444E+09,350566850
778,-1.5427468E+09,-1.4299497E+09,-1.6990769E+09
20,-1.5368364E+09,-51925520,1.160538E+09
473,-1.5345786E+09,435440540,-1.9329094E+09
689,-1.5300243E+09,-2.112301E+09,-314255800
312,-1.5265135E+09,-1.6940452E+09,-771166000
540,-1.5263013E+09,1.8621948E+09,-580578900
641,-1.5025536E+09,386722750,-611630900
310,-1.4860054E+09,1.8187807E+09,-1.2648513E+09
386,-1.4813257E+09,1.3958107E+09,1.4847209E+09
534,-1.4758808E+09,1.433339E+09,686164800
217,-1.4617546E+09,-872866750,-1.099587E+09
446,-1.4587564E+09,-1.6877452E+09,1.2314456E+09
360,-1.4570615E+09,-1.6503386E+09,1.8907406E+09
612,-1.4562927E+09,-89640430,-284983900
662,-1.4559844E+09,-2.0324685E+09,227451660
101,-1.4487721E+09,-1.0937861E+09,-1.99964E+09
296,-1.4468616E+09,-981513000,1.1910038E+09
695,-1.4435059E+09,2.1023698E+09,-943606800
433,-1.4414652E+09,-826614900,-448609300
700,-1.4373512E+09,81821496,1.2647569E+09
605,-1.4329599E+09,-530391230,-661873860
385,-1.4304244E+09,595310600,1.661057E+09
51,-1.425347E+09,-1.4908475E+09,-962118900
43,-1.416056E+09,972670200,-865218050
757,-1.4158772E+09,-1.4572835E+09,1.756589E+09
626,-1.4155336E+09,1.9342177E+09,-846139900
763,-1.411853E+09,386052380,1.5273152E+09
561,-1.4108812E+09,1.4008708E+09,-2.0986388E+09
212,-1.4020306E+09,812896100,-1.7905683E+09
127,-1.398087E+09,705682800,-251630180
508,-1.3884877E+09,-103636220,1.2834743E+09
532,-1.3883434E+09,-24434704,1.2741605E+09
774,-1.3845558E+09,-1.9271502E+09,-2.1159226E+09
11,-1.3819589E+09,-645121600,-1.9525668E+09
328,-1.3727928E+09,326346180,1.00952026E+09
743,-1.3723068E+09,-969908860,-1.0266489E+09
425,-1.3635492E+09,443833800,-1.89361E+09
627,-1.3595881E+09,1.4479866E+09,158451410
610,-1.3544005E+09,-1.2570068E+09,1.7753361E+09
400,-1.3532983E+09,-638124700,-1.3364393E+09
110,-1.3520495E+09,2.1283739E+09,511911360
461,-1.3482112E+09,1.1046244E+09,469107140
654,-1.3477043E+09,-2.0396736E+09,-836391360
721,-1.3254772E+09,-1.855573E+09,187701040
229,-1.3237711E+09,-763564860,6098656
621,-1.3043884E+09,-774880000,-697249400
622,-1.3017289E+09,716467500,1.6033032E+09
263,-1.291214E+09,-797917200,1.5819414E+09
546,-1.2730868E+09,-1.4515226E+09,-512437440
565,-1.2710207E+09,-480308500,-442207800
640,-1.2584428E+09,-1.0229912E+09,1.215164E+09
738,-1.2570414E+09,-714173000,1.4957033E+09
237,-1.2541266E+09,1.9480808E+09,-376071200
115,-1.2520914E+09,-1.5890483E+09,1.6197299E+09
533,-1.243066E+09,196578300,-370674750
270,-1.242348E+09,2.0497206E+09,1.3984474E+09
280,-1.2384991E+09,601788400,-465611200
492,-1.221813E+09,-1.9519762E+09,1.294039E+09
401,-1.21194E+09,-215424880,1.8020367E+09
577,-1.2105467E+09,-1.4640261E+09,2.0665075E+09
547,-1.2067668E+09,-116480820,-1.4218634E+09
204,-1.2049908E+09,-1.7155299E+09,830637900
156,-1.1920343E+09,-2.087655E+09,-874017500
259,-1.1851868E+09,729789500,1.6698927E+09
467,-1.1804975E+09,-1.481279E+09,873457700
551,-1.1770961E+09,-885498750,1.3464172E+09
2,-1.1762409E+09,-1.5271283E+09,-613387650
463,-1.1751624E+09,1.8565485E+09,-1.827967E+09
223,-1.1618996E+09,-1.4002821E+09,475779870
630,-1.1585967E+09,-35779296,995277900
699,-1.1567959E+09,487365820,-1.7577439E+09
68,-1.1544178E+09,-1.1171866E+09,1.5464477E+09
215,-1.1527802E+09,1.286208E+09,7988424
225,-1.1491794E+09,1.8185048E+09,-949809000
754,-1.1457388E+09,450513860,1.9890152E+09
113,-1.1395192E+09,480845300,-1.9761322E+09
616,-1.1380173E+09,234272450,-1.1832493E+09
8,-1.1357326E+09,-975531800,-452787000
419,-1.133458E+09,-1.6886461E+09,70534930
716,-1.0971167E+09,-1.7619264E+09,319463100
663,-1.0844429E+09,1.8623571E+09,-2.0692285E+09
403,-1.0823122E+09,-905534660,1.9513304E+09
278,-1.0808643E+09,1.5005834E+09,-425767840
95,-1.0721569E+09,-198461000,-1.1811361E+09
107,-1.0700063E+09,-495405730,-1.3041188E+09
392,-1.06287846E+09,-44108720,907895700
594,-1.0530367E+09,1.6670555E+09,1.5817998E+09
790,-1.04249485E+09,1.0327873E+09,-1.1329425E+09
10,-1.0403394E+09,-630535400,274417600
795,-1.02287936E+09,-1.5078271E+09,1.3881356E+09
134,-1.0183628E+09,1.5748554E+09,554012740
128,-1.0180239E+09,707443100,305031300
170,-1.01220794E+09,-1.5753556E+09,-540258100
148,-1.00253606E+09,-1.5195032E+09,1.6641774E+09
194,-997181300,-603084740,735030000
363,-963905150,614199300,-1.2009608E+09
191,-963578000,695701800,1.8521002E+09
438,-953328830,-120427780,-1.1103692E+09
341,-953169900,-1.2812145E+09,-584414000
26,-952574300,442182600,379981630
599,-948356350,-406085630,1.9948539E+09
503,-947955700,-1.6109053E+09,-16897292
279,-941559600,-1.144134E+09,-122733890
573,-936836030,1.3827945E+09,-935630300
553,-934327700,-1.6104517E+09,-1.4881268E+09
57,-933747000,-2.1144166E+09,1755760
535,-932744900,-2.1142775E+09,1.2625714E+09
50,-932230140,-2897572,-1.634942E+09
199,-929649900,-1.1215818E+09,704692100
82,-911750800,-1.2278121E+09,-1.7057907E+09
323,-902131200,1.046255E+09,1.908411E+09
371,-899408960,-306765920,1.5322344E+09
807,-894517600,-802565060,-308204830
151,-878391940,-1.1760406E+09,-1.8587319E+09
164,-863741630,1.4927767E+09,-1.1629119E+09
485,-860987200,1.1457487E+09,-957742700
666,-841603600,2.143786E+09,1.2461407E+09
538,-841274900,1.9439031E+09,-2.1055658E+09
636,-838691600,-1.5118804E+09,-1.0861343E+09
510,-832368300,1.566094E+09,1.7328845E+09
459,-829319100,-398920160,730893400
516,-820561300,413984320,862523200
219,-819308860,-746633540,-492455550
7,-814859000,1.9642437E+09,-2.0784244E+09
178,-811976000,-444399700,913302500
249,-808949950,-145408560,1.8660492E+09
708,-807988400,717728900,-2.0113032E+09
569,-801571840,-437937470,-2.1352742E+09
364,-799619300,-952889000,1.2246561E+09
442,-791415550,724486660,-53693990
336,-782373060,-1.236252E+09,-1.4607849E+09
631,-774539800,295516060,1.6465691E+09
579,-774404100,-1.1935484E+09,-1.7911729E+09
601,-767927400,-1.579323E+09,1.4774748E+09
248,-755078850,-1.528866E+09,-1.7200609E+09
522,-752595260,138141980,1.0820326E+09
751,-750475800,1.1185774E+09,-1.6790131E+09
83,-747602050,432120800,-453668100
760,-740398850,-189548700,814471740
402,-735411650,-60658700,1.5410351E+09
351,-712906000,-940166700,734471100
167,-712457100,1.2283603E+09,1.03892326E+09
104,-710311740,-547433600,898091500
316,-701078300,815454850,175152240
356,-699368450,1.7248426E+09,-1.5530253E+09
513,-697872000,1.7783448E+09,-1.5344183E+09
789,-695922400,866190800,-19022964
514,-691134460,-329483550,1.1164815E+09
22,-687751300,-1.2019827E+09,-1.7040803E+09
66,-681760300,2.0192699E+09,-1.9199962E+09
767,-679920000,-1.9893663E+09,364649280
291,-667405760,-67105828,-184162510
154,-659313300,-1.9636781E+09,-190987340
290,-649374340,1.0841773E+09,1.6781953E+09
30,-641376500,-1.0109274E+09,-582958900
89,-639412500,916258560,-1.6535967E+09
293,-632147200,-226063170,-701885400
607,-631096300,1.9131818E+09,-1.9625204E+09
694,-619725200,1.7121554E+09,1.0921357E+09
235,-588444400,-1.1423246E+09,-1.7073752E+09
159,-587773600,885779400,-1.3904914E+09
340,-583363260,1.3826563E+09,530490180
294,-562767360,658657660,1.4763675E+09
488,-559076600,-1.300687E+09,717410750
487,-554715260,2.0052059E+09,939604200
117,-553312100,1.8570344E+09,-1.8046164E+09
221,-550376500,-1.1797494E+09,572721000
324,-550289900,1.2319914E+09,-109519720
61,-545615500,-654993860,1.8644593E+09
257,-532743500,569535600,657941060
717,-529900500,1.5758173E+09,1.7340874E+09
236,-524408200,1.3466593E+09,-464703940
129,-523595800,1.03251744E+09,646751100
130,-507261820,1.760796E+09,-508780860
417,-496336700,-392613020,1.289771E+09
352,-490820830,-1.2732061E+09,352396930
637,-478582400,-1.6976914E+09,-576444900
464,-475951800,1.6724622E+09,990904770
119,-475793150,141065090,-796984770
801,-474984130,118195390,608040800
176,-472405340,1.1822999E+09,800357300
583,-469452830,-1.5249176E+09,769069400
555,-461666940,422824160,1.6661156E+09
423,-460216100,125468850,1.03658304E+09
528,-459979040,-1.1650678E+09,-1.08586E+09
32,-459016130,1.2425806E+09,-1.1622861E+09
210,-454199230,-691024100,308823140
756,-452960320,-1.2288874E+09,-2.0735276E+09
483,-449531170,-1.6035889E+09,-1.2699379E+09
54,-449482880,-1.7552332E+09,-850881100
125,-440783680,621269000,-1.9358497E+09
9,-429833200,1.080713E+09,1.5430412E+09
736,-420939740,1.2621353E+09,163741180
388,-385127700,-1.5994093E+09,-1.4208261E+09
306,-381097100,868896060,-1.7499E+09
302,-363794460,-997145900,1.430853E+09
805,-362618400,-1.4348319E+09,-632682430
253,-356942100,-271802270,965795140
529,-355580860,874406000,228130200
589,-354721860,504015200,-1.523261E+09
742,-350858560,1.7419901E+09,-306568600
23,-349598050,1.7496492E+09,251340000
268,-337800770,-1.870363E+09,1.7365743E+09
426,-325158270,-1.05942464E+09,-1.8392657E+09
0,-312569100,137864380,59279452
559,-311104130,-1.3318225E+09,1.5774218E+09
468,-309457300,892413500,-1.7785076E+09
711,-307025760,2.0152703E+09,588324900
723,-295513340,-65014456,850803840
562,-287233280,1.4287606E+09,-2.1174442E+09
414,-284102880,-148700690,1.8881507E+09
512,-281600930,702082750,143266060
84,-276479520,-286952160,756055600
568,-273610800,-1.8660945E+09,-1.9641556E+09
615,-272449570,783323700,1.9409004E+09
309,-256572900,-718697600,-71974080
684,-253176240,-1.6113439E+09,-2.0866605E+09
608,-252517920,1.38714E+09,923072060
781,-251526240,-1.4802579E+09,613609500
44,-245945420,1.5014848E+09,-1.2984986E+09
563,-241785280,1.8235025E+09,-1.2702712E+09
307,-241161570,553032300,-1.4181071E+09
457,-236764640,-153470900,1.4621427E+09
590,-228200880,696109950,-1.4554863E+09
465,-217819000,-1.4138399E+09,-1.9307099E+09
792,-215565470,143952560,-718741570
407,-214572300,1.1250678E+09,-493039520
39,-214317340,-1.2653239E+09,-1.346064E+09
466,-213318050,-1.8695882E+09,-1.446944E+09
281,-212777730,876889860,-977107260
135,-207609300,-1.8630017E+09,820936770
673,-207120940,1.979285E+09,-1.7174721E+09
122,-206504780,1.0913823E+09,-62981840
739,-190511600,-1.6073044E+09,-681920300
239,-187553060,-601237060,1.5177537E+09
664,-186565390,-1.5914761E+09,461980960
628,-175615780,1.3905103E+09,1.5494758E+09
381,-172603400,-1.0558764E+09,607727400
609,-169020940,1.906526E+09,390943500
471,-163652350,-575997060,-574297660
222,-159218580,-528110720,-1.8387964E+09
549,-151063980,-603745300,316984300
493,-137959840,1.8273139E+09,777317060
802,-134493500,-1.4727392E+09,1.6713988E+09
28,-132196430,-1.7634484E+09,-236221620
348,-131972490,-588946750,1.7244737E+09
137,-125970936,1.8262461E+09,2.0090003E+09
87,-119900730,1.8397514E+09,581321340
196,-116859784,-1.3984731E+09,2.1189276E+09
470,-109639816,1.3692141E+09,1.007901E+09
147,-102114250,1.7716037E+09,-1.5531841E+09
330,-88177890,386057600,-884805440
149,-85541340,458640320,1.6491776E+09
744,-84326080,-769156160,1.6100998E+09
241,-53636076,2.0309838E+09,2.1088911E+09
450,-39327424,1.4133243E+09,745276000
572,-38038324,48602930,-889603460
185,-31981724,-1.21157E+09,836096900
60,-28540544,248055380,1.8856206E+09
571,-28290552,923483300,-281031140
377,-25121948,878360500,68255650
765,-12993748,-910209800,1.00407456E+09
707,-9490276,-1.2260704E+09,564766000
354,538468,2.1407023E+09,1.0438034E+09
160,13640576,1.281002E+09,-2.0147726E+09
796,18119796,644805400,63915776
576,18976136,-1.1027287E+09,-1.2882168E+09
331,19710116,1.3141716E+09,-519772930
427,21382676,385719940,199395650
499,22506952,-114954616,-1.5698652E+09
21,27429544,-457888320,1.3540232E+09
169,28531020,23355556,-920843650
345,38686212,1.8377425E+09,-353251200
208,42081296,314148160,-1.8642153E+09
55,42652956,1.02648026E+09,704280900
106,43347036,-491020580,572584700
643,45011384,-802407360,2.0382427E+09
517,48037296,-2.0139109E+09,161805660
443,53548336,-814071940,-493463970
282,54506304,-2.1116204E+09,1.4082742E+09
357,55665280,-363272000,-1.635687E+09
660,56798028,2.0852956E+09,-179510620
491,61770920,-1.5212874E+09,629271000
675,65118024,625108100,471883740
809,70845060,-617652400,1.4313996E+09
289,76466860,664223740,588061100
676,81810780,-780017200,598721340
667,86299970,825166340,1.2620447E+09
394,86874970,2.1426427E+09,-761990300
192,90071704,-1.7639187E+09,-439610020
338,93050930,2.1352247E+09,-483123600
88,93387630,1.2033409E+09,-1.0464897E+09
399,93635870,1.4907059E+09,-1.3896406E+09
144,94565700,-1.4408567E+09,-1.0585884E+09
275,104422450,-1.4201894E+09,393780160
62,106662820,432323740,810863550
698,109896910,-680613800,2.1118356E+09
648,120581840,362830200,1.5109206E+09
582,120767544,1.5729777E+09,-523580000
300,122785784,-1.2264975E+09,-151277220
97,124191540,-2.0192527E+09,-1.7027748E+09
509,150363970,1.0511139E+09,1.990795E+09
182,151833250,-125428610,-1.4581724E+09
372,152869150,-803263550,-2.000576E+09
1,162217250,-19671904,1.3122712E+09
432,169286320,1.8011876E+09,1.2804573E+09
180,172101980,597114240,1.8963428E+09
120,176241520,-755121100,-1.6756773E+09
173,176802700,993278100,292198660
246,177467870,-1.9229371E+09,-1.1172658E+09
287,177986700,747137800,320015600
530,180324960,1.5725398E+09,1.9462693E+09
682,183607730,-1.8032965E+09,-380309980
475,193225380,1.4741032E+09,-12535292
421,200678600,1.7644713E+09,490090800
786,206189260,-1.5487434E+09,724461400
286,212861360,1.8290711E+09,418492480
276,225129980,-1.382984E+09,2.0369395E+09
587,250042990,-1.2578134E+09,-1.6367199E+09
526,259805800,255157220,243719840
439,271360700,-809836400,-434734720
632,273872420,655736700,-1.6764452E+09
502,275774530,2.064534E+09,2.1367062E+09
255,279818500,-740317600,-727544700
332,292108300,1.069674E+09,1.3952777E+09
126,295244260,-599432100,-517472100
59,299166500,380212930,905275400
153,309849660,-278725300,1.3785112E+09
347,310554020,663496000,-1.5830597E+09
635,312133300,-1.0582889E+09,-266418110
445,326452540,-1.0790996E+09,-128484690
447,338884770,156660980,-645903000
692,339545150,-713779800,1.3261188E+09
102,340095140,1.1671694E+09,-1.1796481E+09
489,343542900,-729326200,816611840
505,345874240,499940160,-692822700
642,346847680,978776800,-1.1208833E+09
321,366864260,1.114978E+09,-1.1702089E+09
142,368425500,-2.0467764E+09,-650941440
18,376955070,-1.5115373E+09,1.5130628E+09
339,390031580,897032300,-860767200
520,390488770,2.1456195E+09,1.3046093E+09
733,392664640,1.801392E+09,937818940
484,398553630,1.9747963E+09,-371350240
460,401178780,-1.3517362E+09,-931201540
408,402511800,254784560,185487120
545,402832580,-947420500,-1.1618403E+09
680,404384000,762187840,-2.0692132E+09
34,405503840,-1.9618282E+09,1.141553E+09
578,406375780,-655569900,1.6638148E+09
719,406616700,1.887952E+09,469876700
48,406729440,739932350,-2.10168E+09
320,412705200,748506560,-402281200
195,414568320,1.7458451E+09,117565880
96,418268100,1.4206638E+09,-538240300
474,420119070,2.0245114E+09,11553804
574,420197900,1.2860145E+09,-1.4204833E+09
424,422472260,1.5363788E+09,-111688940
297,438196580,1.0914456E+09,204845090
715,450566880,-1.5446177E+09,1.7191795E+09
29,468925000,-211582430,-506434180
494,482183870,-583976300,-1.383216E+09
343,490560860,-148846800,-1.1299428E+09
380,498536960,-1.9406628E+09,-414150820
441,501641760,-1.2377606E+09,1.3345361E+09
298,506896260,-1.7083398E+09,-1.9289893E+09
611,513537340,2.1021812E+09,1.7135192E+09
496,514097400,1.5912703E+09,-205028480
431,515889800,1.8804803E+09,1.5376591E+09
584,516192260,-1.6506328E+09,-1.2137656E+09
172,517858660,226707970,-131674050
314,519182660,1.6820646E+09,-630041000
114,532083740,-1.4383332E+09,-1.3233012E+09
132,533670000,2.0444381E+09,-1.6496923E+09
575,535109820,-506597630,-1.117633E+09
398,545559740,1.6397615E+09,719948500
69,550461440,670129000,1.840264E+09
174,554275840,-434474780,1.2122973E+09
725,554548860,1.6684608E+09,-1.7245106E+09
325,557533200,852314500,-306514880
776,565216260,1.7412877E+09,-1.3090812E+09
657,566439700,-212271680,-140608240
362,571154900,971912770,-1.795557E+09
411,574180400,1.8917472E+09,741614140
258,577709700,1.8540579E+09,296461470
593,584463500,1.2647107E+09,709078600
536,594681500,-1.00048666E+09,-1.3909652E+09
100,594754900,1.7754932E+09,747278700
539,594984500,-2.0615875E+09,-454694530
242,598036500,110886260,-1.6190168E+09
458,604180160,-1.1009001E+09,521151550
436,608259500,1.1927974E+09,-1.257002E+09
784,609558700,222846620,-642698700
665,613416000,-1.6985861E+09,764989500
213,613662500,1.5561786E+09,641057400
454,620743230,835081400,-1.237704E+09
166,625763650,-852462850,-41568944
58,631720450,-2.0986227E+09,-901283300
346,632526500,-66100228,-777314240
304,632877000,-1.0669685E+09,-1.2013569E+09
804,646805950,-22652212,-128037300
797,649241700,-787605100,-642393860
595,661222600,1.6141321E+09,-1.3465633E+09
759,687142300,1.01297126E+09,-1.7035658E+09
71,690328770,1.3908744E+09,511626300
103,694787300,1.4528051E+09,-1.5145732E+09
305,698472260,-1.0033604E+09,1.5277555E+09
783,700160500,1.9658296E+09,-398530140
205,708916200,-1.380702E+09,270208200
726,710860540,657668350,-74407896
361,712193600,-750709200,489086600
777,715874500,1.4452653E+09,1.1537284E+09
15,722193300,-1.5657478E+09,1.9744991E+09
391,725498600,1.6249247E+09,-894010940
214,743121100,-1.6549055E+09,-1.1755482E+09
651,746312960,226628930,-915292160
313,759633340,-879753500,1.1199951E+09
90,775077500,1.0719817E+09,1.1973828E+09
251,776374100,325872160,1.708716E+09
685,795963900,-333128100,834643300
451,797850050,-1.5148462E+09,1.0512986E+09
409,799740300,-2.0359585E+09,2.0195165E+09
687,807274200,1.4916444E+09,1.1295082E+09
52,807879200,-2.0407596E+09,1.9547949E+09
647,810123600,772115600,1.847094E+09
171,811184260,-1.0633191E+09,133076290
184,815155700,-36583336,-1.472971E+09
252,817384600,-281200740,1.7066911E+09
76,817961660,1.2054184E+09,-178597070
355,820080960,1.1154266E+09,-1.4823867E+09
78,824991800,1.9201076E+09,99545080
162,825842000,-261835540,1.7859333E+09
359,826546370,22812404,1.4719785E+09
63,827223550,-1.9314502E+09,1.5518772E+09
64,829374660,1.9920147E+09,-1.9749574E+09
238,831762700,291789570,-336932260
260,835072260,-98842740,-2.04323E+09
753,845044500,1.2878949E+09,650071800
108,845717800,2.131273E+09,-1.8937277E+09
393,850608000,-590419260,-316682940
326,856188100,1.3356449E+09,-980876700
261,870988800,-21181332,-727715140
674,875004000,1.9400177E+09,-953573570
588,876995300,-652035700,492466000
118,886737300,-1.685573E+09,1.8107585E+09
469,886793800,212508220,1.1017591E+09
683,910139700,1.1764296E+09,431822820
366,912027900,-424632030,2.012523E+09
94,913604900,-1.2760083E+09,-1.6898729E+09
519,914908160,-1.8826496E+09,-398012600
220,929196000,1.8680264E+09,604043460
794,935911400,1.0320848E+09,-1.8206395E+09
477,941785150,394755460,1.4961905E+09
311,944444200,-1.2898237E+09,785896100
690,947231700,1.1925087E+09,-2.0576264E+09
25,952105700,-1.05587354E+09,-1.1111706E+09
116,957432060,-530602900,1.4212285E+09
140,957489200,-961683260,-1.8780498E+09
524,962081300,-560312600,-306760130
65,962746100,-1.9747639E+09,-609288450
327,967809660,1.6345929E+09,-1.356975E+09
74,977552500,2.0803529E+09,-843703230
730,978479040,-1.6764347E+09,1.333873E+09
728,986191940,-1.3475401E+09,-1.7518721E+09
197,986950700,407917380,1.333835E+09
42,987672000,-17444028,-1.7523981E+09
645,989887550,1.4391895E+09,-1.8820343E+09
353,1.0077675E+09,-1.6790324E+09,-2.1377459E+09
218,1.01115117E+09,-1.2354135E+09,-1.3864462E+09
365,1.01676243E+09,533481380,-1.9641793E+09
143,1.0228981E+09,779853600,-942165570
4,1.0248256E+09,-838689700,772891140
